         1          1          2
         1          1          3
         1          1          8
         1          1          9
         1          1         10
         1          1         11
         1          1         12
         1          1         14
         1          1         17
         2          2          3
         2          2          8
         2          2          9
         2          2         10
         2          2         11
         2          2         16
         2          2         19
         3          3          0
         3          3          1
         3          3          4
         3          3          8
         3          3          9
         3          3         11
         3          3         14
         4          4          3
         4          4          4
         4          4          5
         4          4          6
         4          4          8
         4          4          9
         4          4         11
         4          4         13
         4          4         15
         4          4         17
         4          4         18
         4          4         19
         5          5          3
         5          5          4
         5          5          8
         5          5          9
         5          5         11
         5          5         13
         5          5         17
         5          5         18
         6          6          0
         6          6          3
         6          6          9
         6          6         11
         6          6         14
         6          6         17
         6          6         18
         7          7          0
         7          7          3
         7          7          4
         7          7          5
         7          7          6
         7          7          7
         7          7          9
         7          7         11
         7          7         18
         8          8          1
         8          8          3
         8          8          4
         8          8          5
         8          8          7
         8          8          8
         8          8         10
         8          8         11
         8          8         14
         8          8         17
         8          8         19
         9          9          3
         9          9          4
         9          9          5
         9          9         11
         9          9         14
         9          9         17
        10         10          0
        10         10          3
        10         10          5
        10         10          8
        10         10          9
        10         10         11
        10         10         12
        10         10         14
        10         10         15
        10         10         16
        10         10         18
        11         11          0
        11         11          3
        11         11          4
        11         11          6
        11         11          7
        11         11          8
        11         11          9
        11         11         11
        11         11         14
        12         12          0
        12         12          3
        12         12          9
        12         12         17
        13         13          9
        13         13         13
        13         13         14
        13         13         18
        13         13         19
        14         14          0
        14         14          3
        14         14          4
        14         14          7
        14         14          8
        14         14          9
        14         14         11
        14         14         14
        14         14         15
        14         14         17
        14         14         18
        14         14         19
        15         15          0
        15         15          3
        15         15          4
        15         15          5
        15         15          6
        15         15          7
        15         15          8
        15         15          9
        15         15         10
        15         15         11
        15         15         12
        15         15         13
        15         15         14
        15         15         16
        15         15         17
        16         16          0
        16         16          8
        16         16          9
        16         16         10
        16         16         11
        16         16         14
        16         16         17
        17         17          2
        17         17          7
        17         17         10
        17         17         12
        18         18          1
        18         18          3
        18         18          8
        18         18         10
        18         18         11
        18         18         12
        18         18         16
        19         19          0
        19         19          9
        19         19         11
        19         19         12
        19         19         17
        20         20          3
        20         20          5
        20         20          7
        20         20          9
        20         20         11
        21         21          0
        21         21          4
        21         21          7
        21         21         11
        21         21         17
        21         21         18
        22         22          0
        22         22          3
        22         22          5
        22         22          6
        22         22          7
        22         22          8
        22         22          9
        22         22         11
        22         22         14
        22         22         17
        22         22         19
        23         23          0
        23         23          1
        23         23          3
        23         23          7
        23         23          8
        23         23          9
        23         23         10
        23         23         11
        23         23         13
        23         23         14
        23         23         17
        24         24          3
        24         24          5
        24         24          6
        24         24          7
        24         24          9
        24         24         11
        24         24         14
        24         24         16
        24         24         17
        24         24         18
        24         24         19
        25         25          7
        25         25         11
        25         25         12
        25         25         13
        25         25         15
        25         25         17
        25         25         18
        26         26          3
        26         26          5
        26         26          8
        26         26          9
        26         26         10
        26         26         11
        26         26         14
        26         26         17
        26         26         19
        27         27          3
        27         27          4
        27         27          5
        27         27          6
        27         27          7
        27         27          8
        27         27          9
        27         27         12
        27         27         14
        27         27         15
        27         27         16
        27         27         17
        27         27         18
        28         28          5
        28         28          7
        28         28          8
        28         28         10
        28         28         11
        29         29          3
        29         29          8
        29         29         10
        29         29         11
        29         29         12
        29         29         14
        29         29         16
        29         29         17
        29         29         19
        30         30          5
        30         30          9
        30         30         13
        30         30         14
        30         30         18
        30         30         19
        31         31          3
        31         31          5
        31         31          7
        31         31          9
        31         31         10
        31         31         11
        31         31         14
        31         31         17
        31         31         19
        32         32          0
        32         32          5
        32         32          6
        32         32          8
        32         32          9
        32         32         10
        32         32         11
        32         32         12
        32         32         13
        33         33          0
        33         33          8
        33         33         12
        33         33         13
        33         33         14
        33         33         16
        33         33         17
        33         33         19
        34         34          5
        34         34          7
        34         34          8
        34         34         10
        34         34         12
        34         34         14
        34         34         17
        35         35          5
        35         35          6
        35         35          8
        35         35          9
        35         35         14
        35         35         17
        36         36          3
        36         36          4
        36         36          6
        36         36          8
        36         36          9
        36         36         10
        36         36         12
        36         36         14
        36         36         17
        36         36         18
        37         37          3
        37         37          5
        37         37          8
        37         37          9
        37         37         10
        37         37         11
        37         37         12
        37         37         14
        37         37         15
        37         37         18
        38         38         10
        38         38         14
        38         38         17
        38         38         18
        39         39          0
        39         39          3
        39         39          6
        39         39          8
        39         39         11
        39         39         14
        39         39         15
        39         39         16
        40         40          0
        40         40          3
