frozenset({'0'})	{('0',): [342, 1]}
frozenset({'1'})	{('1',): [66, 1]}
frozenset({'10'})	{('10',): [319, 1]}
frozenset({'11'})	{('11',): [581, 1]}
frozenset({'12'})	{('12',): [277, 1]}
frozenset({'13'})	{('13',): [255, 1]}
frozenset({'14'})	{('14',): [538, 1]}
frozenset({'15'})	{('15',): [173, 1]}
frozenset({'16'})	{('16',): [136, 1]}
frozenset({'17'})	{('17',): [540, 1]}
frozenset({'18'})	{('18',): [285, 1]}
frozenset({'19'})	{('19',): [286, 1]}
frozenset({'2'})	{('2',): [20, 1]}
frozenset({'3'})	{('3',): [583, 1]}
frozenset({'4'})	{('4',): [290, 1]}
frozenset({'5'})	{('5',): [354, 1]}
frozenset({'6'})	{('6',): [272, 1]}
frozenset({'7'})	{('7',): [350, 1]}
frozenset({'8'})	{('8',): [569, 1]}
frozenset({'9'})	{('9',): [539, 1]}
frozenset({'8', '9'})	{('8',): [569, 1], ('9',): [539, 2], ('8', '9'): [332, 3]}
frozenset({'9', '7'})	{('9',): [539, 1], ('7',): [350, 2], ('9', '7'): [185, 3]}
frozenset({'9', '6'})	{('9',): [539, 1], ('6',): [272, 2], ('9', '6'): [159, 3]}
frozenset({'9', '5'})	{('9',): [539, 1], ('5',): [354, 2], ('9', '5'): [202, 3]}
frozenset({'9', '4'})	{('9',): [539, 1], ('4',): [290, 2], ('9', '4'): [168, 3]}
frozenset({'9', '3'})	{('9',): [539, 1], ('3',): [583, 2], ('9', '3'): [338, 3]}
frozenset({'9', '2'})	{('9',): [539, 1], ('2',): [20, 2], ('9', '2'): [13, 3]}
frozenset({'19', '9'})	{('19',): [286, 1], ('9',): [539, 2], ('19', '9'): [169, 3]}
frozenset({'9', '18'})	{('9',): [539, 1], ('18',): [285, 2], ('9', '18'): [173, 3]}
frozenset({'9', '17'})	{('9',): [539, 1], ('17',): [540, 2], ('9', '17'): [318, 3]}
frozenset({'9', '16'})	{('9',): [539, 1], ('16',): [136, 2], ('9', '16'): [85, 3]}
frozenset({'9', '15'})	{('9',): [539, 1], ('15',): [173, 2], ('9', '15'): [103, 3]}
frozenset({'9', '14'})	{('9',): [539, 1], ('14',): [538, 2], ('9', '14'): [305, 3]}
frozenset({'9', '13'})	{('9',): [539, 1], ('13',): [255, 2], ('9', '13'): [154, 3]}
frozenset({'12', '9'})	{('12',): [277, 1], ('9',): [539, 2], ('12', '9'): [163, 3]}
frozenset({'9', '11'})	{('9',): [539, 1], ('11',): [581, 2], ('9', '11'): [325, 3]}
